Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
FC1,	1,	1,	1,	1,	40,	128,	1,
FC2,	1,	1,	1,	1,	128,	1,	1,
